Vardas         Pavarde        Galutinis vid. 
*******************************************************************************
Vardas0        Pavarde0         3.2
Vardas1        Pavarde1        5.68
Vardas2        Pavarde2        7.12
Vardas3        Pavarde3        8.96
Vardas4        Pavarde4        5.92
Vardas5        Pavarde5        5.12
Vardas6        Pavarde6         6.4
Vardas7        Pavarde7        3.84
Vardas8        Pavarde8        3.72
Vardas9        Pavarde9        5.88
Vardas10       Pavarde10        7.8
Vardas11       Pavarde11       6.08
Vardas12       Pavarde12       5.76
Vardas13       Pavarde13       6.76
Vardas14       Pavarde14        8.2
Vardas15       Pavarde15       6.44
Vardas16       Pavarde16       3.16
Vardas17       Pavarde17        2.2
Vardas18       Pavarde18       3.92
Vardas19       Pavarde19       2.68
Vardas20       Pavarde20       8.08
Vardas21       Pavarde21       4.04
Vardas22       Pavarde22       6.56
Vardas23       Pavarde23       5.04
Vardas24       Pavarde24       8.56
Vardas25       Pavarde25       5.84
Vardas26       Pavarde26       5.92
Vardas27       Pavarde27       8.36
Vardas28       Pavarde28       7.72
Vardas29       Pavarde29       2.76
Vardas30       Pavarde30       2.88
Vardas31       Pavarde31       3.36
Vardas32       Pavarde32       3.32
Vardas33       Pavarde33       6.64
Vardas34       Pavarde34        2.2
Vardas35       Pavarde35        7.8
Vardas36       Pavarde36       5.92
Vardas37       Pavarde37        3.6
Vardas38       Pavarde38       7.28
Vardas39       Pavarde39       8.44
Vardas40       Pavarde40       4.36
Vardas41       Pavarde41       7.92
Vardas42       Pavarde42        6.6
Vardas43       Pavarde43        3.8
Vardas44       Pavarde44       5.92
Vardas45       Pavarde45       5.32
Vardas46       Pavarde46        5.2
Vardas47       Pavarde47       6.68
Vardas48       Pavarde48       2.64
Vardas49       Pavarde49       7.92
Vardas50       Pavarde50       7.52
Vardas51       Pavarde51        7.2
Vardas52       Pavarde52       3.88
Vardas53       Pavarde53        4.2
Vardas54       Pavarde54       5.12
Vardas55       Pavarde55        4.2
Vardas56       Pavarde56       7.12
Vardas57       Pavarde57       7.08
Vardas58       Pavarde58        6.2
Vardas59       Pavarde59        6.2
Vardas60       Pavarde60          8
Vardas61       Pavarde61        5.4
Vardas62       Pavarde62       3.48
Vardas63       Pavarde63       5.52
Vardas64       Pavarde64       2.88
Vardas65       Pavarde65       6.92
Vardas66       Pavarde66       8.32
Vardas67       Pavarde67       3.12
Vardas68       Pavarde68          7
Vardas69       Pavarde69       6.56
Vardas70       Pavarde70       4.08
Vardas71       Pavarde71       9.12
Vardas72       Pavarde72        7.8
Vardas73       Pavarde73       5.64
Vardas74       Pavarde74       3.48
Vardas75       Pavarde75       6.56
Vardas76       Pavarde76       2.88
Vardas77       Pavarde77       5.76
Vardas78       Pavarde78       7.72
Vardas79       Pavarde79       4.44
Vardas80       Pavarde80       2.68
Vardas81       Pavarde81       5.56
Vardas82       Pavarde82       4.12
Vardas83       Pavarde83       6.44
Vardas84       Pavarde84       7.04
Vardas85       Pavarde85        4.4
Vardas86       Pavarde86       7.56
Vardas87       Pavarde87        2.8
Vardas88       Pavarde88       7.24
Vardas89       Pavarde89          7
Vardas90       Pavarde90       3.92
Vardas91       Pavarde91       3.76
Vardas92       Pavarde92        7.6
Vardas93       Pavarde93       5.28
Vardas94       Pavarde94        6.2
Vardas95       Pavarde95       8.44
Vardas96       Pavarde96       8.28
Vardas97       Pavarde97       3.32
Vardas98       Pavarde98       3.32
Vardas99       Pavarde99       7.44
Vardas100      Pavarde100      2.96
Vardas101      Pavarde101      8.08
Vardas102      Pavarde102      6.24
Vardas103      Pavarde103      7.12
Vardas104      Pavarde104      7.48
Vardas105      Pavarde105       7.8
Vardas106      Pavarde106       4.4
Vardas107      Pavarde107      8.04
Vardas108      Pavarde108      2.52
Vardas109      Pavarde109       6.2
Vardas110      Pavarde110      1.88
Vardas111      Pavarde111      4.56
Vardas112      Pavarde112      4.64
Vardas113      Pavarde113      3.72
Vardas114      Pavarde114      2.04
Vardas115      Pavarde115      5.56
Vardas116      Pavarde116      6.52
Vardas117      Pavarde117         6
Vardas118      Pavarde118      7.28
Vardas119      Pavarde119      7.08
Vardas120      Pavarde120      8.72
Vardas121      Pavarde121      2.68
Vardas122      Pavarde122      3.96
Vardas123      Pavarde123      3.24
Vardas124      Pavarde124      5.08
Vardas125      Pavarde125      5.68
Vardas126      Pavarde126       5.4
Vardas127      Pavarde127      4.92
Vardas128      Pavarde128      7.68
Vardas129      Pavarde129      6.28
Vardas130      Pavarde130      3.76
Vardas131      Pavarde131      8.96
Vardas132      Pavarde132      3.32
Vardas133      Pavarde133      3.36
Vardas134      Pavarde134      7.48
Vardas135      Pavarde135      6.52
Vardas136      Pavarde136      4.52
Vardas137      Pavarde137      2.76
Vardas138      Pavarde138      3.36
Vardas139      Pavarde139      3.76
Vardas140      Pavarde140       4.8
Vardas141      Pavarde141      6.36
Vardas142      Pavarde142      4.04
Vardas143      Pavarde143      5.28
Vardas144      Pavarde144       8.2
Vardas145      Pavarde145      5.84
Vardas146      Pavarde146      7.48
Vardas147      Pavarde147      8.08
Vardas148      Pavarde148       8.4
Vardas149      Pavarde149      8.72
Vardas150      Pavarde150      6.96
Vardas151      Pavarde151      7.12
Vardas152      Pavarde152      4.72
Vardas153      Pavarde153      5.44
Vardas154      Pavarde154      5.92
Vardas155      Pavarde155      6.76
Vardas156      Pavarde156       3.2
Vardas157      Pavarde157       2.6
Vardas158      Pavarde158      3.04
Vardas159      Pavarde159      8.52
Vardas160      Pavarde160      4.44
Vardas161      Pavarde161      2.92
Vardas162      Pavarde162      4.32
Vardas163      Pavarde163         4
Vardas164      Pavarde164      3.28
Vardas165      Pavarde165       3.2
Vardas166      Pavarde166      3.56
Vardas167      Pavarde167      7.04
Vardas168      Pavarde168       2.6
Vardas169      Pavarde169      2.68
Vardas170      Pavarde170      5.88
Vardas171      Pavarde171      5.88
Vardas172      Pavarde172      5.12
Vardas173      Pavarde173       6.8
Vardas174      Pavarde174      7.48
Vardas175      Pavarde175      5.16
Vardas176      Pavarde176      4.72
Vardas177      Pavarde177      3.72
Vardas178      Pavarde178      4.84
Vardas179      Pavarde179      8.32
Vardas180      Pavarde180      4.92
Vardas181      Pavarde181      7.32
Vardas182      Pavarde182      7.48
Vardas183      Pavarde183      5.76
Vardas184      Pavarde184      7.48
Vardas185      Pavarde185       7.6
Vardas186      Pavarde186      2.88
Vardas187      Pavarde187      3.28
Vardas188      Pavarde188       6.4
Vardas189      Pavarde189      3.36
Vardas190      Pavarde190      3.44
Vardas191      Pavarde191      8.16
Vardas192      Pavarde192       8.4
Vardas193      Pavarde193      3.04
Vardas194      Pavarde194       4.8
Vardas195      Pavarde195      8.16
