Vardas         Pavarde        Galutinis vid. 
*******************************************************************************
Vardas0        Pavarde0         3.2
Vardas7        Pavarde7        3.84
Vardas8        Pavarde8        3.72
Vardas16       Pavarde16       3.16
Vardas17       Pavarde17        2.2
Vardas18       Pavarde18       3.92
Vardas19       Pavarde19       2.68
Vardas21       Pavarde21       4.04
Vardas29       Pavarde29       2.76
Vardas30       Pavarde30       2.88
Vardas31       Pavarde31       3.36
Vardas32       Pavarde32       3.32
Vardas34       Pavarde34        2.2
Vardas37       Pavarde37        3.6
Vardas40       Pavarde40       4.36
Vardas43       Pavarde43        3.8
Vardas48       Pavarde48       2.64
Vardas52       Pavarde52       3.88
Vardas53       Pavarde53        4.2
Vardas55       Pavarde55        4.2
Vardas62       Pavarde62       3.48
Vardas64       Pavarde64       2.88
Vardas67       Pavarde67       3.12
Vardas70       Pavarde70       4.08
Vardas74       Pavarde74       3.48
Vardas76       Pavarde76       2.88
Vardas79       Pavarde79       4.44
Vardas80       Pavarde80       2.68
Vardas82       Pavarde82       4.12
Vardas85       Pavarde85        4.4
Vardas87       Pavarde87        2.8
Vardas90       Pavarde90       3.92
Vardas91       Pavarde91       3.76
Vardas97       Pavarde97       3.32
Vardas98       Pavarde98       3.32
Vardas100      Pavarde100      2.96
Vardas106      Pavarde106       4.4
Vardas108      Pavarde108      2.52
Vardas110      Pavarde110      1.88
Vardas111      Pavarde111      4.56
Vardas112      Pavarde112      4.64
Vardas113      Pavarde113      3.72
Vardas114      Pavarde114      2.04
Vardas121      Pavarde121      2.68
Vardas122      Pavarde122      3.96
Vardas123      Pavarde123      3.24
Vardas127      Pavarde127      4.92
Vardas130      Pavarde130      3.76
Vardas132      Pavarde132      3.32
Vardas133      Pavarde133      3.36
Vardas136      Pavarde136      4.52
Vardas137      Pavarde137      2.76
Vardas138      Pavarde138      3.36
Vardas139      Pavarde139      3.76
Vardas140      Pavarde140       4.8
Vardas142      Pavarde142      4.04
Vardas152      Pavarde152      4.72
Vardas156      Pavarde156       3.2
Vardas157      Pavarde157       2.6
Vardas158      Pavarde158      3.04
Vardas160      Pavarde160      4.44
Vardas161      Pavarde161      2.92
Vardas162      Pavarde162      4.32
Vardas163      Pavarde163         4
Vardas164      Pavarde164      3.28
Vardas165      Pavarde165       3.2
Vardas166      Pavarde166      3.56
Vardas168      Pavarde168       2.6
Vardas169      Pavarde169      2.68
Vardas176      Pavarde176      4.72
Vardas177      Pavarde177      3.72
Vardas178      Pavarde178      4.84
Vardas180      Pavarde180      4.92
Vardas186      Pavarde186      2.88
Vardas187      Pavarde187      3.28
Vardas189      Pavarde189      3.36
Vardas190      Pavarde190      3.44
Vardas193      Pavarde193      3.04
Vardas194      Pavarde194       4.8
Vardas198      Pavarde198      3.16
Vardas200      Pavarde200       2.2
Vardas202      Pavarde202      3.76
Vardas204      Pavarde204      4.88
Vardas206      Pavarde206      4.68
Vardas208      Pavarde208      4.64
Vardas211      Pavarde211      4.28
Vardas212      Pavarde212      4.48
Vardas214      Pavarde214      4.76
Vardas215      Pavarde215      4.56
Vardas217      Pavarde217      3.04
Vardas218      Pavarde218      3.16
Vardas227      Pavarde227       3.8
Vardas234      Pavarde234      4.56
Vardas236      Pavarde236      4.72
Vardas237      Pavarde237      4.96
Vardas239      Pavarde239      4.72
Vardas241      Pavarde241      4.12
Vardas242      Pavarde242      2.68
Vardas243      Pavarde243      4.64
Vardas244      Pavarde244       4.4
Vardas248      Pavarde248      2.52
Vardas250      Pavarde250       4.8
Vardas251      Pavarde251      4.48
Vardas252      Pavarde252      4.44
Vardas258      Pavarde258      3.36
Vardas261      Pavarde261      4.12
Vardas265      Pavarde265      3.48
Vardas267      Pavarde267      4.44
Vardas269      Pavarde269         4
Vardas270      Pavarde270      2.92
Vardas271      Pavarde271       4.6
Vardas274      Pavarde274      2.92
Vardas278      Pavarde278      2.52
Vardas279      Pavarde279      4.72
Vardas281      Pavarde281      3.48
Vardas282      Pavarde282      4.32
Vardas288      Pavarde288      3.52
Vardas290      Pavarde290         4
Vardas291      Pavarde291      2.84
Vardas292      Pavarde292      4.32
Vardas293      Pavarde293      4.44
Vardas294      Pavarde294      3.16
Vardas295      Pavarde295      3.64
Vardas302      Pavarde302      4.36
Vardas305      Pavarde305       4.2
Vardas306      Pavarde306       3.4
Vardas308      Pavarde308       2.2
Vardas309      Pavarde309      2.36
Vardas310      Pavarde310      4.84
Vardas312      Pavarde312       4.4
Vardas314      Pavarde314      4.36
Vardas315      Pavarde315      3.16
Vardas319      Pavarde319      2.36
Vardas321      Pavarde321      2.72
Vardas322      Pavarde322       4.4
Vardas323      Pavarde323      3.84
Vardas324      Pavarde324       3.8
Vardas329      Pavarde329      3.32
Vardas331      Pavarde331       4.2
Vardas332      Pavarde332      3.92
Vardas337      Pavarde337      4.32
Vardas343      Pavarde343         4
Vardas348      Pavarde348      4.68
Vardas353      Pavarde353      2.76
Vardas357      Pavarde357      4.36
Vardas358      Pavarde358      1.88
Vardas361      Pavarde361      4.28
Vardas363      Pavarde363      3.12
Vardas365      Pavarde365      3.44
Vardas369      Pavarde369      4.56
Vardas370      Pavarde370      3.76
Vardas371      Pavarde371      2.88
Vardas373      Pavarde373      4.88
Vardas374      Pavarde374      4.96
Vardas378      Pavarde378      4.12
Vardas384      Pavarde384      2.68
Vardas387      Pavarde387      3.52
Vardas388      Pavarde388      4.28
Vardas391      Pavarde391      3.24
Vardas393      Pavarde393      3.64
Vardas394      Pavarde394      2.48
Vardas396      Pavarde396       3.8
Vardas398      Pavarde398      2.04
Vardas401      Pavarde401      4.12
Vardas406      Pavarde406       2.4
Vardas408      Pavarde408      4.24
Vardas409      Pavarde409       4.2
Vardas411      Pavarde411       4.2
Vardas413      Pavarde413      3.76
Vardas416      Pavarde416      4.04
Vardas418      Pavarde418       2.6
Vardas419      Pavarde419      3.56
Vardas424      Pavarde424      4.88
Vardas425      Pavarde425      3.24
Vardas426      Pavarde426      4.64
Vardas427      Pavarde427      2.96
Vardas430      Pavarde430       4.4
Vardas433      Pavarde433      4.28
Vardas434      Pavarde434       4.6
Vardas435      Pavarde435      2.04
Vardas437      Pavarde437       1.8
Vardas438      Pavarde438      3.64
Vardas439      Pavarde439      4.84
Vardas440      Pavarde440      3.72
Vardas441      Pavarde441      3.32
Vardas443      Pavarde443      4.24
Vardas447      Pavarde447      2.76
Vardas448      Pavarde448       3.4
Vardas451      Pavarde451      2.76
Vardas453      Pavarde453       2.6
Vardas454      Pavarde454      3.36
Vardas456      Pavarde456      4.08
Vardas458      Pavarde458      4.44
Vardas461      Pavarde461         3
Vardas462      Pavarde462      4.76
Vardas463      Pavarde463      2.96
